
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:443            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:623            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2222           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:7526           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:8000           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:10597          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:16992          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49158          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:49159          0.0.0.0:0              LISTENING
  TCP    0.0.0.0:57498          0.0.0.0:0              LISTENING
  TCP    127.0.0.1:10635        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:49704        0.0.0.0:0              LISTENING
  TCP    127.0.0.1:52820        127.0.0.1:52821        ESTABLISHED
  TCP    127.0.0.1:52821        127.0.0.1:52820        ESTABLISHED
  TCP    127.0.0.1:62514        0.0.0.0:0              LISTENING
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.65.1:139       0.0.0.0:0              LISTENING
  TCP    192.168.69.111:54417   216.58.219.206:443     CLOSE_WAIT
  TCP    192.168.69.125:139     0.0.0.0:0              LISTENING
  TCP    192.168.69.125:49414   173.192.82.194:80      ESTABLISHED
  TCP    192.168.69.125:50327   173.192.82.195:80      ESTABLISHED
  TCP    192.168.69.125:53374   108.168.151.6:80       ESTABLISHED
  TCP    192.168.69.125:53405   54.192.50.28:80        ESTABLISHED
  TCP    192.168.69.125:53872   173.192.82.195:80      ESTABLISHED
  TCP    192.168.69.125:56425   73.190.193.10:443      ESTABLISHED
  TCP    192.168.69.125:56426   24.241.92.148:443      ESTABLISHED
  TCP    192.168.69.125:56841   216.58.219.194:80      ESTABLISHED
  TCP    192.168.69.125:56887   74.125.226.2:443       ESTABLISHED
  TCP    192.168.69.125:57147   173.194.219.106:443    ESTABLISHED
  TCP    192.168.69.125:57153   184.51.112.49:443      ESTABLISHED
  TCP    192.168.69.125:57155   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57157   23.21.69.121:443       TIME_WAIT
  TCP    192.168.69.125:57158   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57159   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57160   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57161   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57162   23.21.69.121:80        ESTABLISHED
  TCP    192.168.69.125:57163   50.116.194.21:80       ESTABLISHED
  TCP    192.168.69.125:57164   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57165   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57166   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57167   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57168   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57169   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57170   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57171   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57172   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57173   54.215.223.69:80       ESTABLISHED
  TCP    192.168.69.125:57174   52.1.54.110:80         ESTABLISHED
  TCP    192.168.69.125:57175   52.1.54.110:80         ESTABLISHED
  TCP    192.168.69.125:57176   52.1.54.110:80         ESTABLISHED
  TCP    192.168.69.125:57177   52.1.54.110:80         ESTABLISHED
  TCP    192.168.69.125:57178   52.1.54.110:80         ESTABLISHED
  TCP    192.168.69.125:57180   209.235.4.199:80       ESTABLISHED
  TCP    192.168.69.125:57181   174.129.1.237:80       ESTABLISHED
  TCP    192.168.69.125:57182   74.125.226.89:80       ESTABLISHED
  TCP    192.168.69.125:57187   173.193.244.36:80      ESTABLISHED
  TCP    192.168.69.125:57188   173.193.244.36:80      ESTABLISHED
  TCP    192.168.69.125:57189   107.22.172.55:80       ESTABLISHED
  TCP    192.168.69.125:57190   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57191   31.13.71.12:80         ESTABLISHED
  TCP    192.168.69.125:57192   52.0.77.80:80          ESTABLISHED
  TCP    192.168.69.125:57193   52.0.77.80:80          ESTABLISHED
  TCP    192.168.69.125:57195   52.0.77.80:80          ESTABLISHED
  TCP    192.168.69.125:57196   52.0.77.80:80          ESTABLISHED
  TCP    192.168.69.125:57202   54.230.48.34:80        ESTABLISHED
  TCP    192.168.69.125:57203   54.193.31.0:80         ESTABLISHED
  TCP    192.168.69.125:57204   54.193.31.0:80         ESTABLISHED
  TCP    192.168.69.125:57205   54.193.31.0:80         ESTABLISHED
  TCP    192.168.69.125:57206   54.193.31.0:80         ESTABLISHED
  TCP    192.168.69.125:57207   54.193.31.0:80         ESTABLISHED
